scenario_id,period,short_rate,one_period_zero_price,growth_factor,bill_discount_rate
1,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
1,2,0.0479082417,0.9547249243,1.0474221156,0.0447775474
1,3,0.0741518353,0.9347770712,1.0697737790,0.0645061933
1,4,0.0554372142,0.9489589745,1.0537863352,0.0504801351
1,5,0.0712478562,0.9369637280,1.0672771742,0.0623435657
1,6,0.0548590707,0.9494004999,1.0532962644,0.0500434616
1,7,0.0419655177,0.9593007991,1.0424259011,0.0402519569
2,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
2,2,0.0616060360,0.9442606396,1.0590296344,0.0551268399
2,3,0.0653459276,0.9414235746,1.0622211160,0.0579327285
2,4,0.0901260972,0.9228395939,1.0836119371,0.0763124896
2,5,0.0719899006,0.9364044926,1.0679145688,0.0628966556
2,6,0.0581529337,0.9468877384,1.0560914028,0.0525286103
2,7,0.0480976018,0.9545794771,1.0475817090,0.0449213963
3,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
3,2,0.0330152867,0.9662338654,1.0349461303,0.0333950782
3,3,0.0377660329,0.9625476054,1.0389096544,0.0370408299
3,4,0.0322094472,0.9668605417,1.0342753240,0.0327752885
3,5,0.0545437338,0.9496414078,1.0530290611,0.0498052011
3,6,0.0633855682,0.9429096298,1.0605470221,0.0564630035
3,7,0.0385349459,0.9619523042,1.0395525803,0.0376295893
4,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
4,2,0.0378759228,0.9624625048,1.0390015144,0.0371249953
4,3,0.0150369362,0.9803121122,1.0200832853,0.0194715374
4,4,0.0361733320,0.9637818646,1.0375791834,0.0358201339
4,5,0.0200312507,0.9763807812,1.0241905814,0.0233596669
4,6,0.0235136126,0.9736489335,1.0270642380,0.0260614943
4,7,0.0419057913,0.9593468994,1.0423758086,0.0402063632
5,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
5,2,0.0348130288,0.9648372809,1.0364441962,0.0347763156
5,3,0.0240363258,0.9732395351,1.0274962781,0.0264663939
5,4,0.0279614097,0.9701708330,1.0307463037,0.0295013740
5,5,0.0255202571,0.9720782311,1.0287237879,0.0276149363
5,6,0.0353727824,0.9644028459,1.0369110837,0.0352059766
5,7,0.0395812105,0.9611428656,1.0404280527,0.0384301329
6,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
6,2,0.0286257417,0.9696524043,1.0312973964,0.0300141056
6,3,0.0214174299,0.9752924325,1.0253334966,0.0244360558
6,4,0.0338887274,0.9655550765,1.0356737014,0.0340664079
6,5,0.0431697105,0.9583718069,1.0434363707,0.0411707404
6,6,0.0412248257,0.9598726641,1.0418048532,0.0396863761
6,7,0.0614368988,0.9443891482,1.0588855261,0.0549997435
7,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
7,2,0.0456418845,0.9564674303,1.0455139070,0.0430541898
7,3,0.0464674709,0.9558323039,1.0462086246,0.0436823368
7,4,0.0606070904,0.9450198811,1.0581787961,0.0543759418
7,5,0.0613540561,0.9444520976,1.0588149495,0.0549374859
7,6,0.0354103578,0.9643736899,1.0369424327,0.0352348122
7,7,0.0192679002,0.9769806389,1.0235617372,0.0227664011
8,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
8,2,0.0467050808,0.9556495881,1.0464086549,0.0438630448
8,3,0.0601313667,0.9453816660,1.0577738452,0.0540181326
8,4,0.0500271184,0.9530986813,1.0492092997,0.0463859196
8,5,0.0573459829,0.9475027144,1.0554059474,0.0519203923
8,6,0.0483083478,0.9544176295,1.0477593551,0.0450814653
8,7,0.0574712007,0.9474072600,1.0555122831,0.0520147978
9,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
9,2,0.0450395254,0.9569310934,1.0450073228,0.0425956219
9,3,0.0356800676,0.9641644393,1.0371674781,0.0354417633
9,4,0.0241442248,0.9731550481,1.0275854829,0.0265499524
9,5,0.0190721268,0.9771345413,1.0234005224,0.0226141899
9,6,0.0255388556,0.9720636849,1.0287391819,0.0276293226
9,7,0.0360988207,0.9638396457,1.0375169817,0.0357629878
10,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
10,2,0.0333973280,0.9659369057,1.0352643057,0.0336887746
10,3,0.0249869081,0.9724954630,1.0282824322,0.0272022894
10,4,0.0169649598,0.9787925743,1.0216669254,0.0209743770
10,5,0.0241567471,0.9731452434,1.0275958361,0.0265596494
10,6,0.0309946153,0.9678060468,1.0332648812,0.0318401735
10,7,0.0269543345,0.9709572587,1.0299114519,0.0287235903
11,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
11,2,0.0219498644,0.9748747179,1.0257728318,0.0248491801
11,3,0.0227618172,0.9742380552,1.0264431723,0.0254788465
11,4,0.0319916232,0.9670300063,1.0340940751,0.0326076861
11,5,0.0551760939,0.9491583654,1.0535649650,0.0502829353
11,6,0.0549258712,0.9493494742,1.0533528771,0.0500939266
11,7,0.0345651363,0.9650297373,1.0362374975,0.0345859741
12,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
12,2,0.0343568098,0.9651915055,1.0360638218,0.0344259835
12,3,0.0413142844,0.9598035778,1.0418798420,0.0397547032
12,4,0.0357406056,0.9641174780,1.0372179976,0.0354882085
12,5,0.0485711715,0.9542158260,1.0479809418,0.0452810512
12,6,0.0169283787,0.9788213831,1.0216368556,0.0209458849
12,7,0.0329647795,0.9662731313,1.0349040738,0.0333562437
13,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
13,2,0.0520200386,0.9515716383,1.0508930276,0.0478961819
13,3,0.0461328926,0.9560896453,1.0459270267,0.0434278233
13,4,0.0150642359,0.9802905799,1.0201056916,0.0194928330
13,5,0.0254413491,0.9721399485,1.0286584782,0.0275538971
13,6,0.0329269315,0.9663025567,1.0348725594,0.0333271418
13,7,0.0379706532,0.9623891501,1.0390807086,0.0371975439
14,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
14,2,0.0543839197,0.9497635242,1.0528936672,0.0496844266
14,3,0.0502763847,0.9529075510,1.0494197458,0.0465749495
14,4,0.0429780945,0.9585195717,1.0432755152,0.0410245994
14,5,0.0435777874,0.9580571941,1.0437790209,0.0414818959
14,6,0.0461788615,0.9560542842,1.0459657120,0.0434627959
14,7,0.0282385116,0.9699545557,1.0309761361,0.0297152746
15,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
15,2,0.0542818459,0.9498415287,1.0528071997,0.0496072793
15,3,0.0671810344,0.9400345899,1.0637906422,0.0593064496
15,4,0.0490901660,0.9538174526,1.0484186437,0.0456750468
15,5,0.0248113716,0.9726328220,1.0281372141,0.0270664397
15,6,0.0182548796,0.9777772620,1.0227278123,0.0219785321
15,7,0.0154403761,0.9799939531,1.0204144595,0.0197862002
16,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
16,2,0.0474862373,0.9550491449,1.0470665362,0.0444568897
16,3,0.0356181471,0.9642124755,1.0371158074,0.0353942550
16,4,0.0406370269,0.9603267277,1.0413122650,0.0392373023
16,5,0.0354642352,0.9643318863,1.0369873839,0.0352761564
16,6,0.0268999195,0.9709997695,1.0298663619,0.0286815466
16,7,0.0324462714,0.9666763286,1.0344724189,0.0329574772
17,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
17,2,0.0602509237,0.9452907306,1.0578756013,0.0541080687
17,3,0.0675606339,0.9397475285,1.0641155946,0.0595903564
17,4,0.0515656429,0.9519195962,1.0505088917,0.0475520477
17,5,0.0650030956,0.9416832901,1.0619281562,0.0576758669
17,6,0.0573166987,0.9475250394,1.0553810806,0.0518983127
17,7,0.0666254434,0.9404548979,1.0633152129,0.0588907603
18,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
18,2,0.0359735944,0.9639367623,1.0374124518,0.0356669384
18,3,0.0216065016,0.9751440782,1.0254894865,0.0245827798
18,4,0.0273793652,0.9706252742,1.0302637141,0.0290519266
18,5,0.0141163816,0.9810384630,1.0193280261,0.0187531685
18,6,0.0295944992,0.9688969059,1.0321015516,0.0307613018
18,7,0.0223961293,0.9745247444,1.0261412096,0.0251953078
19,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
19,2,0.0441542363,0.9576129485,1.0442632397,0.0419212597
19,3,0.0491251047,0.9537906401,1.0484481164,0.0457015648
19,4,0.0392104286,0.9614296417,1.0401177129,0.0381465082
19,5,0.0238295641,0.9734014540,1.0273253608,0.0263062543
19,6,0.0326387720,0.9665266186,1.0346326534,0.0331055421
