scenario_id,period,short_rate,one_period_zero_price,growth_factor,bill_discount_rate
19,7,0.0181562093,0.9778548894,1.0226466225,0.0219017577
20,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
20,2,0.0685172955,0.9390244690,1.0649349757,0.0603054703
20,3,0.0427965552,0.9586595869,1.0431231416,0.0408861229
20,4,0.0542282922,0.9498824568,1.0527618369,0.0495668010
20,5,0.0323790309,0.9667286280,1.0344164547,0.0329057526
20,6,0.0562946988,0.9483044957,1.0545136130,0.0511274219
20,7,0.0406970174,0.9602803763,1.0413625277,0.0392831443
21,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
21,2,0.0335257989,0.9658370661,1.0353713220,0.0337875170
21,3,0.0216268879,0.9751280836,1.0255063072,0.0245985987
21,4,0.0087528982,0.9852811600,1.0149387207,0.0145570946
21,5,0.0219804406,0.9748507351,1.0257980673,0.0248728993
21,6,0.0098814529,0.9843869135,1.0158607213,0.0154415141
21,7,0.0169664243,0.9787914210,1.0216681292,0.0209755177
22,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
22,2,0.0175967657,0.9782951402,1.0221864128,0.0214663449
22,3,0.0210484906,0.9755819841,1.0250291788,0.0241496861
22,4,0.0538661448,0.9501592721,1.0524551297,0.0492930276
22,5,0.0584706801,0.9466456939,1.0563614312,0.0527679951
22,6,0.0196914573,0.9766477529,1.0239106137,0.0230956290
22,7,0.0310065306,0.9677967687,1.0332747870,0.0318493497
23,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
23,2,0.0494215800,0.9535631506,1.0486982423,0.0459265543
23,3,0.0412302008,0.9598685130,1.0418093588,0.0396904817
23,4,0.0375030010,0.9627513322,1.0386898117,0.0368393418
23,5,0.0527091264,0.9510442053,1.0514758352,0.0484178190
23,6,0.0511386906,0.9522466550,1.0501480837,0.0472285830
23,7,0.0657014749,0.9411543021,1.0625250267,0.0581990419
24,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
24,2,0.0509182092,0.9524155946,1.0499618083,0.0470614998
24,3,0.0459506753,0.9562298271,1.0457736954,0.0432891820
24,4,0.0345473866,0.9650435191,1.0362226990,0.0345723438
24,5,0.0266325451,0.9712086786,1.0296448354,0.0284749332
24,6,0.0355530557,0.9642629741,1.0370614934,0.0353443113
24,7,0.0452638914,0.9567583624,1.0451959860,0.0427664547
25,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
25,2,0.0702354710,0.9377272422,1.0664081782,0.0615884418
25,3,0.0757071219,0.9336080607,1.0711132884,0.0656623575
25,4,0.0617739294,0.9441330933,1.0591727026,0.0552529847
25,5,0.0512149235,0.9521882500,1.0502124974,0.0472863462
25,6,0.0249282052,0.9725413964,1.0282338662,0.0271568607
25,7,0.0398024940,0.9609717577,1.0406133083,0.0385993605
26,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
26,2,0.0322778167,0.9668073570,1.0343322201,0.0328278887
26,3,0.0208882198,0.9757077948,1.0248970084,0.0240252579
26,4,0.0143640987,0.9808429524,1.0195312079,0.0189465306
26,5,0.0287126222,0.9695846253,1.0313694894,0.0300811398
26,6,0.0121113217,0.9826223908,1.0176849311,0.0171866465
26,7,0.0199824471,0.9764191211,1.0241503657,0.0233217483
27,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
27,2,0.0272336494,0.9707390776,1.0301429324,0.0289393738
27,3,0.0340683403,0.9654155506,1.0358233813,0.0342044005
27,4,0.0349503733,0.9647306672,1.0365587350,0.0348817577
27,5,0.0585213825,0.9466070769,1.0564045256,0.0528061877
27,6,0.0428507353,0.9586177974,1.0431686150,0.0409274531
27,7,0.0256328617,0.9719901648,1.0288169944,0.0277020348
28,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
28,2,0.0603127246,0.9452437281,1.0579282045,0.0541545547
28,3,0.0410903599,0.9599765175,1.0416921474,0.0395836640
28,4,0.0295814254,0.9689070978,1.0320906951,0.0307512220
28,5,0.0251462105,0.9723708240,1.0284142380,0.0273255587
28,6,0.0480946942,0.9545817103,1.0475792583,0.0449191877
28,7,0.0344689278,0.9651044411,1.0361572877,0.0345120913
29,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
29,2,0.0429078558,0.9585737420,1.0432165583,0.0409710244
29,3,0.0484339536,0.9543211805,1.0478652475,0.0451768544
29,4,0.0484628491,0.9542989939,1.0478896095,0.0451987973
29,5,0.0579705079,0.9470267299,1.0559364043,0.0523911462
29,6,0.0649640305,0.9417128888,1.0618947790,0.0576465935
29,7,0.0457861390,0.9563564244,1.0456352616,0.0431639759
30,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
30,2,0.0323145248,0.9667788030,1.0343627693,0.0328561289
30,3,0.0290020102,0.9693588964,1.0316096584,0.0303043882
30,4,0.0517164980,0.9518040633,1.0506364057,0.0476663110
30,5,0.0527373017,0.9510226459,1.0514996718,0.0484391414
30,6,0.0450972430,0.9568866558,1.0450558527,0.0426395712
30,7,0.0421355570,0.9591695653,1.0425685261,0.0403817486
31,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
31,2,0.0583909959,0.9467063879,1.0562937071,0.0527079680
31,3,0.0491155435,0.9537979775,1.0484400508,0.0456943080
31,4,0.0407845018,0.9602127859,1.0414358303,0.0393499919
31,5,0.0410999889,0.9599690803,1.0417002177,0.0395910195
31,6,0.0221735224,0.9746993033,1.0259574380,0.0250226671
31,7,0.0244663113,0.9729028917,1.0278518119,0.0267993379
32,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
32,2,0.0221229553,0.9747389602,1.0259156973,0.0249834460
32,3,0.0236443895,0.9735464906,1.0271723125,0.0261628115
32,4,0.0107444477,0.9837036395,1.0165663315,0.0161172797
32,5,0.0162206199,0.9793789333,1.0210552483,0.0203944615
32,6,0.0384468276,0.9620205077,1.0394788801,0.0375621352
32,7,0.0352685527,0.9644837256,1.0368241303,0.0351259857
33,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
33,2,0.0443669276,0.9574490880,1.0444419578,0.0420833195
33,3,0.0283575171,0.9698616870,1.0310748568,0.0298071228
33,4,0.0234064778,0.9737328647,1.0269757099,0.0259784855
33,5,0.0284793730,0.9697666031,1.0311759518,0.0299011617
33,6,0.0628520622,0.9433144613,1.0600918793,0.0560626207
33,7,0.0430040227,0.9584995758,1.0432972797,0.0410443756
34,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
34,2,0.0223213097,0.9745834113,1.0260794391,0.0251372856
34,3,0.0263351344,0.9714411089,1.0293984791,0.0282450572
34,4,0.0299859206,0.9685918178,1.0324266442,0.0310630374
34,5,0.0209763178,0.9756386369,1.0249696581,0.0240936559
34,6,0.0135362369,0.9814964945,1.0188523399,0.0183001703
34,7,0.0073905761,0.9863617219,1.0138268525,0.0134884069
35,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
35,2,0.0356747351,0.9641685761,1.0371630281,0.0354376720
35,3,0.0657756638,0.9410981251,1.0625884521,0.0582546016
35,4,0.0424386752,0.9589356675,1.0428228232,0.0406130761
35,5,0.0511804375,0.9522146706,1.0501833577,0.0472602159
35,6,0.0524747865,0.9512235380,1.0512776020,0.0482404569
35,7,0.0371433122,0.9630299928,1.0383892584,0.0365637434
36,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
36,2,0.0586502787,0.9465089114,1.0565140887,0.0529032745
36,3,0.0467907396,0.9555837272,1.0464807757,0.0439281819
36,4,0.0506314807,0.9526353397,1.0497196128,0.0468441695
36,5,0.0570240013,0.9477482076,1.0551325679,0.0516775969
36,6,0.0496648586,0.9533765201,1.0489035328,0.0461111340
36,7,0.0849811421,0.9266676531,1.0791355420,0.0725264970
37,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
37,2,0.0360300008,0.9638930163,1.0374595345,0.0357102037
37,3,0.0411804284,0.9599069527,1.0417676392,0.0396524643
37,4,0.0401378923,0.9607124685,1.0408941622,0.0388558004
37,5,0.0455940689,0.9565042279,1.0454736852,0.0430177966
37,6,0.0467740412,0.9555965658,1.0464667160,0.0439154844
37,7,0.0418677996,0.9593762248,1.0423439462,0.0401773601
38,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
38,2,0.0390939983,0.9615197107,1.0400202813,0.0380574290
38,3,0.0243712416,0.9729773134,1.0277731928,0.0267257340
38,4,0.0345253278,0.9650606470,1.0362043081,0.0345554041
38,5,0.0189229204,0.9772518526,1.0232776713,0.0224981678
38,6,0.0120986637,0.9826323982,1.0176745666,0.0171767490
38,7,0.0140140470,0.9811192419,1.0192441013,0.0186732772
39,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
39,2,0.0466871363,0.9556633857,1.0463935471,0.0438493988
39,3,0.0402033783,0.9606618508,1.0409490073,0.0389058618
39,4,0.0351062796,0.9646096591,1.0366887689,0.0350014360
39,5,0.0348286930,0.9648251210,1.0364572587,0.0347883419
39,6,0.0349744583,0.9647119724,1.0365788221,0.0349002471
39,7,0.0443241616,0.9574820333,1.0444060204,0.0420507363
40,1,0.0450000000,0.9569615257,1.0449740905,0.0425655240
40,2,0.0584472749,0.9466635208,1.0563415385,0.0527503641
40,3,0.0501879421,0.9529753619,1.0493450723,0.0465078838
40,4,0.0403759663,0.9605284610,1.0410935653,0.0390377858
40,5,0.0317403606,0.9672255228,1.0338850417,0.0324143181
40,6,0.0405624413,0.9603843591,1.0412497773,0.0391803042
40,7,0.0251081155,0.9724006283,1.0283827169,0.0272960819
